Site,Treatment,LizardTag,Sex,Year,Date,TOD,Substrate,Light,Orientation,PerchHeight,PerchDiam,SagLength,Notes,SVL,HeadLength,HeadWidth,Humerus,Ulna,Foreleg,Femur,Tibia,Hindleg,Mass,BodyCond,TailLength,TailRegen,2ndFTArea,2ndFTLam,4thHTArea,4thHTLam
SL10,1,R-024,0,0,6/19/2017,13:10,TRUNK,SHADE,SUP,50,15,46,,46,12.59,7.08,6.65,5.77,12.42,8.9,8.01,16.91,2.34,0.050869565,7,Y,1.17,13,2.083,20
SL10,1,R-025,1,0,6/19/2017,14:35,BRANCH,CLOUDY,HOR,400,3,56,,54,16.15,8.94,7.77,6.64,14.41,10.24,9.12,19.36,3.59,0.066481481,10.8,N,2.105,16,3.598,23
SL9,0,C-000,1,0,6/11/2017,11:20,BRANCH,HALF,SDOWN,101,3,60,,58,16.42,9.54,8.29,6.92,15.21,11,9.06,20.06,3.77,0.065,12,N,2.272,14,4.174,22
SL9,0,C-001,0,0,6/11/2017,12:15,BRANCH,SUN,SDOWN,98,2,43,,46,11.75,7.41,6,5.59,11.59,9.18,6.93,16.11,2.38,0.05173913,9.6,N,1.459,15,2.513,23
SL9,0,C-002,0,0,6/11/2017,12:50,BRANCH,HALF,HOR,100,1,44,,47,12.91,7.09,6.52,5.92,12.44,9.1,8.07,17.17,2.41,0.051276596,10.3,N,1.433,14,2.769,22
SL9,0,C-003,1,0,6/11/2017,14:05,BRANCH,CLOUDY,HOR,190,2,55,shed and was recaptured day after release - died shortly therafter,62,18.44,10.51,8.17,7.62,15.79,10.77,9.37,20.14,5.14,0.082903226,11.1,N,2.825,15,5.14,24
SL9,0,C-004,0,0,6/11/2017,14:10,BRANCH,CLOUDY,SUP,250,1,48,,42,12.74,6.79,6.46,6,12.46,7.91,8.3,16.21,2.03,0.048333333,9.1,N,1.701,15,3.056,22
SL9,0,C-005,1,0,6/12/2017,9:25,BRANCH,CLOUDY,HOR,149,9,59,most of tail dropped in bag,54,16.81,9.14,8.71,7.12,15.83,10.99,9.52,20.51,3.72,0.068888889,11.3,N,2.321,16,4.279,25
SL9,0,C-006,0,0,6/12/2017,10:30,BRANCH,CLOUDY,SUP,300,3,46,most of tail dropped in bag,48,12.89,6.67,6.6,5.53,12.13,9.13,7.78,16.91,1.98,0.04125,8.2,N,1.415,14,2.289,21
SL9,0,C-007,1,0,6/12/2017,11:05,TRUNK,SUN,HOR,153,5,58,,59,18.63,9.98,8.93,7.58,16.51,11.79,9.34,21.13,4.42,0.074915254,13,N,2.637,17,5.019,25
SL9,0,C-008,0,0,6/12/2017,12:10,TRUNK,SHADE,UP,120,3,46,,51,14.3,7.61,7.33,6.11,13.44,9.48,8.06,17.54,2.87,0.05627451,10,N,1.896,15,3.546,23
SL9,0,C-009,1,0,6/12/2017,13:56,TRUNK,HALF,NA,145,9,58,,58,17.02,8.76,7.86,7.3,15.16,10.86,8.92,19.78,3.49,0.060172414,10.2,N,2.186,15,4.199,22
SL9,0,C-010,1,0,6/12/2017,14:27,TRUNK,HALF,SUP,137,4,56,,56,16.6,8.92,8.24,7.28,15.52,11.12,10.16,21.28,3.37,0.060178571,11.9,N,2.103,15,3.794,23
SL9,0,C-011,1,0,6/13/2017,10:15,TRUNK,SUN,SDOWN,201,5,57,,58,16.87,9.48,8.25,6.65,14.9,10.44,9.06,19.5,3.84,0.066206897,11.1,N,2.377,16,4.171,23
SL9,0,C-012,1,0,6/13/2017,10:30,BRANCH,SHADE,HOR,190,1,47,,52,15.43,8.26,7.18,6.68,13.86,9.73,9.25,18.98,2.76,0.053076923,11.5,N,1.529,15,3.56,22
SL9,0,C-013,1,0,6/13/2017,13:00,BRANCH,SUN,HOR,220,5,61,,59,16.9,9.37,8.43,6.99,15.42,10.29,9.65,19.94,3.93,0.066610169,12.6,N,2.153,16,4.088,23
SL9,0,C-014,1,0,6/13/2017,13:00,BRANCH,SUN,HOR,220,5,62,,58,17.77,10.15,7.78,6.97,14.75,10.6,9.44,20.04,4.23,0.072931034,11.5,N,2.525,16,3.793,24
SL9,0,C-015,0,0,6/13/2017,12:55,BRANCH,SUN,SUP,200,2,46,,45,12.47,6.97,6.94,6.06,13,7.77,7.23,15,1.99,0.044222222,7.3,Y,1.178,13,2.16,21
SL9,0,C-016,1,0,6/14/2017,9:30,ROOT,SHADE,UP,150,2,NA,right hind leg broken probably during capture; no stomach contents - caught as we were being chased off by storm,50,15.09,7.38,7.52,6.16,13.68,10.22,9.5,19.72,2.1,0.042,9.4,N,1.725,15,3.323,22
SL9,0,C-017,1,0,6/15/2017,8:40,BRANCH,SUN,SDOWN,400,2,56,,59,17.66,9.75,8.32,6.89,15.21,10.89,9.76,20.65,4.52,0.076610169,10.9,Y,2.266,15,4.286,25
SL9,0,C-018,1,0,6/15/2017,9:25,TRUNK,HALF,UP,170,3,59,,58,17.09,8.76,8.07,7.07,15.14,10.16,9.78,19.94,3.69,0.06362069,12.1,N,2.254,16,4.096,24
SL9,0,C-019,1,0,6/15/2017,10:20,BRANCH,HALF,SDOWN,210,2,62,,58,17.09,8.66,8.47,7.28,15.75,11.37,10.18,21.55,3.47,0.059827586,9.5,Y,2.247,16,4.45,25
SL9,0,C-020,1,0,6/15/2017,11:20,BRANCH,CLOUDY,DOWN,500,2,50,,59,17.41,9.55,8.49,6.93,15.42,11.15,9.75,20.9,4.22,0.071525424,13.4,N,2.63,16,4.366,22
SL9,0,C-021,1,0,6/15/2017,13:15,TRUNK,CLOUDY,DOWN,550,6,57,,57,17.64,10.01,8.14,7.09,15.23,10.49,9.98,20.47,4.38,0.076842105,13.1,N,2.182,16,4.058,24
SL9,0,C-022,0,0,6/15/2017,14:30,BRANCH,CLOUDY,SUP,200,1,45,,47,13.16,7.25,7.08,5.83,12.91,9.06,8.14,17.2,2.63,0.055957447,5.5,Y,1.433,13,2.781,23
SL9,0,C-023,0,0,6/16/2017,9:00,ROOT,SHADE,HOR,42,2,50,,48,12.17,7.05,6.79,5.72,12.51,9.06,8.61,17.67,2.18,0.045416667,9.7,N,1.251,14,2.371,21
